accession	source
BGC0001034	MIBiG
BGC0001035	MIBiG
BGC0001036	MIBiG
BGC0001037	MIBiG
BGC0001038	MIBiG
BGC0001039	MIBiG
BGC0001040	MIBiG
BGC0001041	MIBiG
BGC0001042	MIBiG
BGC0001043	MIBiG
BGC0001044	MIBiG
BGC0001045	MIBiG
BGC0001046	MIBiG
BGC0001047	MIBiG
BGC0001048	MIBiG
BGC0001049	MIBiG
BGC0001050	MIBiG
BGC0001051	MIBiG
BGC0001052	MIBiG
BGC0001053	MIBiG
BGC0001054	MIBiG
BGC0001055	MIBiG
BGC0001056	MIBiG
BGC0001057	MIBiG
BGC0001058	MIBiG
BGC0001059	MIBiG
BGC0001060	MIBiG
BGC0001061	MIBiG
BGC0001062	MIBiG
BGC0001063	MIBiG
BGC0001064	MIBiG
BGC0001065	MIBiG
BGC0001066	MIBiG
BGC0001067	MIBiG
BGC0001069	MIBiG
BGC0001070	MIBiG
BGC0001071	MIBiG
BGC0001072	MIBiG
BGC0001073	MIBiG
BGC0001074	MIBiG
BGC0001075	MIBiG
BGC0001076	MIBiG
BGC0001077	MIBiG
BGC0001078	MIBiG
BGC0001079	MIBiG
BGC0001080	MIBiG
BGC0001082	MIBiG
BGC0001083	MIBiG
BGC0001084	MIBiG
BGC0001088	MIBiG
BGC0001089	MIBiG
BGC0001090	MIBiG
BGC0001091	MIBiG
BGC0001093	MIBiG
BGC0001094	MIBiG
BGC0001095	MIBiG
BGC0001098	MIBiG
BGC0001099	MIBiG
BGC0001100	MIBiG
BGC0001101	MIBiG
BGC0001102	MIBiG
BGC0001103	MIBiG
BGC0001105	MIBiG
BGC0001106	MIBiG
BGC0001108	MIBiG
BGC0001109	MIBiG
BGC0001110	MIBiG
BGC0001111	MIBiG
BGC0001112	MIBiG
BGC0001113	MIBiG
BGC0001114	MIBiG
BGC0001115	MIBiG
BGC0001116	MIBiG
BGC0001117	MIBiG
BGC0001118	MIBiG
BGC0001119	MIBiG
BGC0001122	MIBiG
BGC0001123	MIBiG
BGC0001124	MIBiG
BGC0001125	MIBiG
BGC0001126	MIBiG
BGC0001127	MIBiG
BGC0001128	MIBiG
BGC0001130	MIBiG
BGC0001131	MIBiG
BGC0001132	MIBiG
BGC0001133	MIBiG
BGC0001134	MIBiG
BGC0001135	MIBiG
BGC0001136	MIBiG
BGC0001137	MIBiG
BGC0001138	MIBiG
BGC0001140	MIBiG
BGC0001141	MIBiG
BGC0001142	MIBiG
BGC0001143	MIBiG
BGC0001144	MIBiG
BGC0001145	MIBiG
BGC0001146	MIBiG
BGC0001147	MIBiG
BGC0001148	MIBiG
BGC0001149	MIBiG
BGC0001150	MIBiG
BGC0001151	MIBiG
BGC0001152	MIBiG
BGC0001153	MIBiG
BGC0001154	MIBiG
BGC0001155	MIBiG
BGC0001156	MIBiG
BGC0001157	MIBiG
BGC0001159	MIBiG
BGC0001160	MIBiG
BGC0001161	MIBiG
BGC0001162	MIBiG
BGC0001163	MIBiG
BGC0001164	MIBiG
BGC0001165	MIBiG
BGC0001166	MIBiG
BGC0001167	MIBiG
BGC0001168	MIBiG
BGC0001169	MIBiG
BGC0001170	MIBiG
BGC0001171	MIBiG
BGC0001172	MIBiG
BGC0001173	MIBiG
BGC0001174	MIBiG
BGC0001176	MIBiG
BGC0001177	MIBiG
BGC0001178	MIBiG
BGC0001179	MIBiG
BGC0001181	MIBiG
BGC0001183	MIBiG
BGC0001184	MIBiG
BGC0001185	MIBiG
BGC0001186	MIBiG
BGC0001187	MIBiG
BGC0001188	MIBiG
BGC0001189	MIBiG
BGC0001190	MIBiG
BGC0001192	MIBiG
BGC0001193	MIBiG
BGC0001194	MIBiG
BGC0001195	MIBiG
BGC0001197	MIBiG
BGC0001198	MIBiG
BGC0001199	MIBiG
BGC0001200	MIBiG
BGC0001201	MIBiG
BGC0001202	MIBiG
BGC0001203	MIBiG
BGC0001204	MIBiG
BGC0001205	MIBiG
BGC0001206	MIBiG
BGC0001207	MIBiG
BGC0001209	MIBiG
BGC0001210	MIBiG
BGC0001211	MIBiG
BGC0001212	MIBiG
BGC0001213	MIBiG
BGC0001214	MIBiG
BGC0001215	MIBiG
BGC0001216	MIBiG
BGC0001217	MIBiG
BGC0001218	MIBiG
BGC0001219	MIBiG
BGC0001220	MIBiG
BGC0001221	MIBiG
BGC0001222	MIBiG
BGC0001223	MIBiG
BGC0001224	MIBiG
BGC0001225	MIBiG
BGC0001226	MIBiG
BGC0001227	MIBiG
BGC0001228	MIBiG
BGC0001229	MIBiG
BGC0001230	MIBiG
BGC0001231	MIBiG
BGC0001233	MIBiG
BGC0001235	MIBiG
BGC0001237	MIBiG
BGC0001238	MIBiG
BGC0001239	MIBiG
BGC0001240	MIBiG
BGC0001241	MIBiG
BGC0001242	MIBiG
BGC0001244	MIBiG
BGC0001245	MIBiG
BGC0001246	MIBiG
BGC0001248	MIBiG
BGC0001249	MIBiG
BGC0001250	MIBiG
BGC0001251	MIBiG
BGC0001252	MIBiG
BGC0001254	MIBiG
BGC0001255	MIBiG
BGC0001257	MIBiG
BGC0001258	MIBiG
BGC0001260	MIBiG
BGC0001261	MIBiG
BGC0001262	MIBiG
BGC0001264	MIBiG
BGC0001266	MIBiG
BGC0001267	MIBiG
BGC0001268	MIBiG
BGC0001273	MIBiG
BGC0001275	MIBiG
BGC0001276	MIBiG
BGC0001277	MIBiG
BGC0001278	MIBiG
BGC0001281	MIBiG
BGC0001283	MIBiG
BGC0001284	MIBiG
BGC0001285	MIBiG
BGC0001286	MIBiG
BGC0001287	MIBiG
BGC0001288	MIBiG
BGC0001289	MIBiG
BGC0001290	MIBiG
BGC0001291	MIBiG
BGC0001292	MIBiG
BGC0001293	MIBiG
BGC0001294	MIBiG
BGC0001295	MIBiG
BGC0001296	MIBiG
BGC0001297	MIBiG
BGC0001298	MIBiG
BGC0001299	MIBiG
BGC0001300	MIBiG
BGC0001301	MIBiG
BGC0001302	MIBiG
BGC0001303	MIBiG
BGC0001304	MIBiG
BGC0001305	MIBiG
BGC0001306	MIBiG
BGC0001307	MIBiG
BGC0001310	MIBiG
BGC0001311	MIBiG
BGC0001312	MIBiG
BGC0001313	MIBiG
BGC0001314	MIBiG
BGC0001315	MIBiG
BGC0001316	MIBiG
BGC0001317	MIBiG
BGC0001318	MIBiG
BGC0001321	MIBiG
BGC0001322	MIBiG
BGC0001324	MIBiG
BGC0001325	MIBiG
BGC0001327	MIBiG
BGC0001328	MIBiG
BGC0001329	MIBiG
BGC0001330	MIBiG
BGC0001331	MIBiG
BGC0001332	MIBiG
BGC0001333	MIBiG
BGC0001334	MIBiG
BGC0001335	MIBiG
BGC0001336	MIBiG
BGC0001337	MIBiG
BGC0001338	MIBiG
BGC0001339	MIBiG
BGC0001340	MIBiG
BGC0001341	MIBiG
BGC0001342	MIBiG
BGC0001343	MIBiG
BGC0001344	MIBiG
BGC0001345	MIBiG
BGC0001346	MIBiG
BGC0001348	MIBiG
BGC0001349	MIBiG
BGC0001351	MIBiG
BGC0001356	MIBiG
BGC0001357	MIBiG
BGC0001358	MIBiG
BGC0001360	MIBiG
BGC0001361	MIBiG
BGC0001363	MIBiG
BGC0001364	MIBiG
BGC0001365	MIBiG
BGC0001366	MIBiG
BGC0001367	MIBiG
BGC0001368	MIBiG
BGC0001369	MIBiG
BGC0001370	MIBiG
BGC0001371	MIBiG
BGC0001372	MIBiG
BGC0001373	MIBiG
BGC0001374	MIBiG
BGC0001375	MIBiG
BGC0001376	MIBiG
BGC0001377	MIBiG
BGC0001379	MIBiG
BGC0001380	MIBiG
BGC0001381	MIBiG
BGC0001383	MIBiG
BGC0001384	MIBiG
BGC0001386	MIBiG
BGC0001387	MIBiG
BGC0001388	MIBiG
BGC0001389	MIBiG
BGC0001390	MIBiG
BGC0001391	MIBiG
BGC0001392	MIBiG
BGC0001393	MIBiG
BGC0001394	MIBiG
BGC0001395	MIBiG
BGC0001396	MIBiG
BGC0001397	MIBiG
BGC0001398	MIBiG
BGC0001399	MIBiG
BGC0001400	MIBiG
BGC0001403	MIBiG
BGC0001404	MIBiG
BGC0001405	MIBiG
BGC0001406	MIBiG
BGC0001407	MIBiG
BGC0001408	MIBiG
BGC0001409	MIBiG
BGC0001410	MIBiG
BGC0001411	MIBiG
BGC0001412	MIBiG
BGC0001413	MIBiG
BGC0001414	MIBiG
BGC0001415	MIBiG
BGC0001416	MIBiG
BGC0001417	MIBiG
BGC0001418	MIBiG
BGC0001419	MIBiG
BGC0001420	MIBiG
BGC0001421	MIBiG
BGC0001422	MIBiG
BGC0001423	MIBiG
BGC0001424	MIBiG
BGC0001425	MIBiG
BGC0001426	MIBiG
BGC0001427	MIBiG
BGC0001428	MIBiG
BGC0001429	MIBiG
BGC0001430	MIBiG
BGC0001431	MIBiG
BGC0001432	MIBiG
BGC0001433	MIBiG
BGC0001434	MIBiG
BGC0001435	MIBiG
BGC0001437	MIBiG
BGC0001438	MIBiG
BGC0001439	MIBiG
BGC0001440	MIBiG
BGC0001441	MIBiG
BGC0001442	MIBiG
BGC0001443	MIBiG
BGC0001444	MIBiG
BGC0001445	MIBiG
BGC0001446	MIBiG
BGC0001447	MIBiG
BGC0001448	MIBiG
BGC0001449	MIBiG
BGC0001451	MIBiG
BGC0001452	MIBiG
BGC0001453	MIBiG
BGC0001454	MIBiG
BGC0001455	MIBiG
BGC0001456	MIBiG
BGC0001457	MIBiG
BGC0001458	MIBiG
BGC0001459	MIBiG
BGC0001460	MIBiG
BGC0001461	MIBiG
BGC0001462	MIBiG
BGC0001463	MIBiG
BGC0001464	MIBiG
BGC0001465	MIBiG
BGC0001467	MIBiG
BGC0001468	MIBiG
BGC0001469	MIBiG
BGC0001470	MIBiG
BGC0001471	MIBiG
BGC0001472	MIBiG
BGC0001473	MIBiG
BGC0001474	MIBiG
BGC0001475	MIBiG
BGC0001477	MIBiG
BGC0001478	MIBiG
BGC0001480	MIBiG
BGC0001481	MIBiG
BGC0001483	MIBiG
BGC0001484	MIBiG
BGC0001485	MIBiG
BGC0001486	MIBiG
BGC0001488	MIBiG
BGC0001489	MIBiG
BGC0001490	MIBiG
BGC0001491	MIBiG
BGC0001492	MIBiG
BGC0001493	MIBiG
BGC0001495	MIBiG
BGC0001496	MIBiG
BGC0001498	MIBiG
BGC0001499	MIBiG
BGC0001500	MIBiG
BGC0001501	MIBiG
BGC0001502	MIBiG
BGC0001503	MIBiG
BGC0001504	MIBiG
BGC0001505	MIBiG
BGC0001506	MIBiG
BGC0001507	MIBiG
BGC0001508	MIBiG
BGC0001509	MIBiG
BGC0001510	MIBiG
BGC0001511	MIBiG
BGC0001512	MIBiG
BGC0001513	MIBiG
BGC0001514	MIBiG
BGC0001515	MIBiG
BGC0001516	MIBiG
BGC0001517	MIBiG
BGC0001518	MIBiG
BGC0001519	MIBiG
BGC0001520	MIBiG
BGC0001521	MIBiG
BGC0001522	MIBiG
BGC0001523	MIBiG
BGC0001524	MIBiG
BGC0001525	MIBiG
BGC0001526	MIBiG
BGC0001527	MIBiG
BGC0001528	MIBiG
BGC0001529	MIBiG
BGC0001531	MIBiG
BGC0001532	MIBiG
BGC0001533	MIBiG
BGC0001534	MIBiG
BGC0001535	MIBiG
BGC0001536	MIBiG
BGC0001537	MIBiG
BGC0001539	MIBiG
BGC0001540	MIBiG
BGC0001541	MIBiG
BGC0001542	MIBiG
BGC0001543	MIBiG
BGC0001544	MIBiG
BGC0001545	MIBiG
BGC0001547	MIBiG
BGC0001548	MIBiG
BGC0001549	MIBiG
BGC0001550	MIBiG
BGC0001551	MIBiG
BGC0001552	MIBiG
BGC0001553	MIBiG
BGC0001554	MIBiG
BGC0001555	MIBiG
BGC0001556	MIBiG
BGC0001558	MIBiG
BGC0001560	MIBiG
BGC0001561	MIBiG
BGC0001562	MIBiG
BGC0001563	MIBiG
BGC0001564	MIBiG
BGC0001565	MIBiG
BGC0001566	MIBiG
BGC0001567	MIBiG
BGC0001568	MIBiG
BGC0001569	MIBiG
BGC0001570	MIBiG
BGC0001571	MIBiG
BGC0001572	MIBiG
BGC0001573	MIBiG
BGC0001574	MIBiG
BGC0001575	MIBiG
BGC0001576	MIBiG
BGC0001578	MIBiG
BGC0001579	MIBiG
BGC0001580	MIBiG
BGC0001582	MIBiG
BGC0001584	MIBiG
BGC0001585	MIBiG
BGC0001586	MIBiG
BGC0001587	MIBiG
BGC0001588	MIBiG
BGC0001589	MIBiG
BGC0001590	MIBiG
BGC0001591	MIBiG
BGC0001592	MIBiG
BGC0001593	MIBiG
BGC0001594	MIBiG
BGC0001595	MIBiG
BGC0001596	MIBiG
BGC0001597	MIBiG
BGC0001600	MIBiG
BGC0001601	MIBiG
BGC0001602	MIBiG
BGC0001603	MIBiG
BGC0001604	MIBiG
BGC0001605	MIBiG
BGC0001606	MIBiG
BGC0001607	MIBiG
BGC0001608	MIBiG
BGC0001609	MIBiG
BGC0001610	MIBiG
BGC0001611	MIBiG
BGC0001612	MIBiG
BGC0001615	MIBiG
BGC0001616	MIBiG
BGC0001617	MIBiG
BGC0001618	MIBiG
BGC0001619	MIBiG
BGC0001620	MIBiG
BGC0001621	MIBiG
BGC0001622	MIBiG
BGC0001623	MIBiG
BGC0001624	MIBiG
BGC0001625	MIBiG
BGC0001626	MIBiG
BGC0001627	MIBiG
BGC0001628	MIBiG
BGC0001629	MIBiG
BGC0001630	MIBiG
BGC0001631	MIBiG
BGC0001632	MIBiG
BGC0001633	MIBiG
BGC0001634	MIBiG
BGC0001635	MIBiG
BGC0001636	MIBiG
BGC0001637	MIBiG
BGC0001638	MIBiG
BGC0001639	MIBiG
BGC0001640	MIBiG
BGC0001641	MIBiG
BGC0001642	MIBiG
BGC0001644	MIBiG
BGC0001645	MIBiG
BGC0001647	MIBiG
BGC0001648	MIBiG
BGC0001649	MIBiG
BGC0001650	MIBiG
BGC0001651	MIBiG
BGC0001652	MIBiG
BGC0001653	MIBiG
BGC0001654	MIBiG
BGC0001655	MIBiG
BGC0001656	MIBiG
BGC0001657	MIBiG
BGC0001658	MIBiG
BGC0001659	MIBiG
BGC0001660	MIBiG
BGC0001661	MIBiG
BGC0001662	MIBiG
BGC0001663	MIBiG
BGC0001665	MIBiG
BGC0001666	MIBiG
BGC0001667	MIBiG
BGC0001668	MIBiG
BGC0001670	MIBiG
BGC0001671	MIBiG
BGC0001672	MIBiG
BGC0001674	MIBiG
BGC0001675	MIBiG
BGC0001677	MIBiG
BGC0001679	MIBiG
BGC0001680	MIBiG
BGC0001681	MIBiG
BGC0001682	MIBiG
BGC0001683	MIBiG
BGC0001684	MIBiG
BGC0001685	MIBiG
BGC0001687	MIBiG
BGC0001690	MIBiG
BGC0001692	MIBiG
BGC0001693	MIBiG
BGC0001694	MIBiG
BGC0001695	MIBiG
BGC0001696	MIBiG
BGC0001699	MIBiG
BGC0001700	MIBiG
BGC0001701	MIBiG
BGC0001702	MIBiG
BGC0001703	MIBiG
BGC0001704	MIBiG
BGC0001705	MIBiG
BGC0001706	MIBiG
BGC0001707	MIBiG
BGC0001708	MIBiG
BGC0001709	MIBiG
BGC0001711	MIBiG
BGC0001712	MIBiG
BGC0001713	MIBiG
BGC0001715	MIBiG
BGC0001716	MIBiG
BGC0001717	MIBiG
BGC0001718	MIBiG
BGC0001719	MIBiG
BGC0001720	MIBiG
BGC0001721	MIBiG
BGC0001722	MIBiG
BGC0001723	MIBiG
BGC0001724	MIBiG
BGC0001725	MIBiG
BGC0001726	MIBiG
BGC0001727	MIBiG
BGC0001728	MIBiG
BGC0001729	MIBiG
BGC0001731	MIBiG
BGC0001732	MIBiG
BGC0001733	MIBiG
BGC0001735	MIBiG
BGC0001736	MIBiG
BGC0001737	MIBiG
BGC0001738	MIBiG
BGC0001739	MIBiG
BGC0001740	MIBiG
BGC0001741	MIBiG
BGC0001742	MIBiG
BGC0001743	MIBiG
BGC0001746	MIBiG
BGC0001747	MIBiG
BGC0001748	MIBiG
BGC0001749	MIBiG
BGC0001750	MIBiG
BGC0001751	MIBiG
BGC0001752	MIBiG
BGC0001753	MIBiG
BGC0001755	MIBiG
BGC0001756	MIBiG
BGC0001757	MIBiG
BGC0001758	MIBiG
BGC0001759	MIBiG
BGC0001760	MIBiG
BGC0001761	MIBiG
BGC0001762	MIBiG
BGC0001763	MIBiG
BGC0001764	MIBiG
BGC0001765	MIBiG
BGC0001768	MIBiG
BGC0001769	MIBiG
BGC0001770	MIBiG
BGC0001771	MIBiG
BGC0001772	MIBiG
BGC0001773	MIBiG
BGC0001774	MIBiG
BGC0001775	MIBiG
BGC0001776	MIBiG
BGC0001778	MIBiG
BGC0001779	MIBiG
BGC0001780	MIBiG
BGC0001781	MIBiG
BGC0001782	MIBiG
BGC0001783	MIBiG
BGC0001784	MIBiG
BGC0001785	MIBiG
BGC0001786	MIBiG
BGC0001787	MIBiG
BGC0001788	MIBiG
BGC0001789	MIBiG
BGC0001790	MIBiG
BGC0001791	MIBiG
BGC0001792	MIBiG
BGC0001793	MIBiG
BGC0001794	MIBiG
BGC0001795	MIBiG
BGC0001796	MIBiG
BGC0001797	MIBiG
BGC0001799	MIBiG
BGC0001800	MIBiG
BGC0001801	MIBiG
BGC0001802	MIBiG
BGC0001806	MIBiG
BGC0001807	MIBiG
BGC0001808	MIBiG
BGC0001809	MIBiG
BGC0001810	MIBiG
BGC0001811	MIBiG
BGC0001812	MIBiG
BGC0001813	MIBiG
BGC0001814	MIBiG
BGC0001816	MIBiG
BGC0001817	MIBiG
BGC0001818	MIBiG
BGC0001819	MIBiG
BGC0001820	MIBiG
BGC0001822	MIBiG
BGC0001823	MIBiG
BGC0001824	MIBiG
BGC0001825	MIBiG
BGC0001826	MIBiG
BGC0001827	MIBiG
BGC0001828	MIBiG
BGC0001830	MIBiG
BGC0001831	MIBiG
BGC0001833	MIBiG
BGC0001834	MIBiG
BGC0001835	MIBiG
BGC0001836	MIBiG
BGC0001838	MIBiG
BGC0001839	MIBiG
BGC0001840	MIBiG
BGC0001841	MIBiG
BGC0001842	MIBiG
BGC0001843	MIBiG
BGC0001844	MIBiG
BGC0001845	MIBiG
BGC0001846	MIBiG
BGC0001847	MIBiG
BGC0001848	MIBiG
BGC0001849	MIBiG
BGC0001850	MIBiG
BGC0001851	MIBiG
BGC0001852	MIBiG
BGC0001853	MIBiG
BGC0001854	MIBiG
BGC0001856	MIBiG
BGC0001857	MIBiG
BGC0001858	MIBiG
BGC0001859	MIBiG
BGC0001860	MIBiG
BGC0001861	MIBiG
BGC0001862	MIBiG
BGC0001863	MIBiG
BGC0001864	MIBiG
BGC0001865	MIBiG
BGC0001866	MIBiG
BGC0001867	MIBiG
BGC0001868	MIBiG
BGC0001869	MIBiG
BGC0001870	MIBiG
BGC0001872	MIBiG
BGC0001873	MIBiG
BGC0001874	MIBiG
BGC0001875	MIBiG
BGC0001876	MIBiG
BGC0001877	MIBiG
BGC0001878	MIBiG
BGC0001879	MIBiG
BGC0001880	MIBiG
BGC0001881	MIBiG
BGC0001882	MIBiG
BGC0001884	MIBiG
BGC0001885	MIBiG
BGC0001886	MIBiG
BGC0001887	MIBiG
BGC0001888	MIBiG
BGC0001889	MIBiG
BGC0001890	MIBiG
BGC0001891	MIBiG
BGC0001894	MIBiG
BGC0001895	MIBiG
BGC0001896	MIBiG
BGC0001897	MIBiG
BGC0001899	MIBiG
BGC0001902	MIBiG
BGC0001903	MIBiG
BGC0001904	MIBiG
BGC0001905	MIBiG
BGC0001906	MIBiG
BGC0001907	MIBiG
BGC0001909	MIBiG
BGC0001910	MIBiG
BGC0001911	MIBiG
BGC0001913	MIBiG
BGC0001917	MIBiG
BGC0001918	MIBiG
BGC0001919	MIBiG
BGC0001920	MIBiG
BGC0001922	MIBiG
BGC0001923	MIBiG
BGC0001924	MIBiG
BGC0001925	MIBiG
BGC0001926	MIBiG
BGC0001927	MIBiG
BGC0001928	MIBiG
BGC0001929	MIBiG
BGC0001931	MIBiG
BGC0001937	MIBiG
BGC0001940	MIBiG
BGC0001941	MIBiG
BGC0001942	MIBiG
BGC0001944	MIBiG
BGC0001945	MIBiG
BGC0001947	MIBiG
BGC0001948	MIBiG
BGC0001950	MIBiG
BGC0001951	MIBiG
BGC0001952	MIBiG
BGC0001953	MIBiG
BGC0001954	MIBiG
BGC0001955	MIBiG
BGC0001956	MIBiG
BGC0001957	MIBiG
BGC0001959	MIBiG
BGC0001960	MIBiG
BGC0001962	MIBiG
BGC0001963	MIBiG
BGC0001964	MIBiG
BGC0001965	MIBiG
BGC0001966	MIBiG
BGC0001967	MIBiG
BGC0001968	MIBiG
BGC0001969	MIBiG
BGC0001970	MIBiG
BGC0001971	MIBiG
BGC0001972	MIBiG
BGC0001974	MIBiG
BGC0001975	MIBiG
BGC0001976	MIBiG
BGC0001979	MIBiG
BGC0001980	MIBiG
BGC0001983	MIBiG
BGC0001984	MIBiG
BGC0001985	MIBiG
BGC0001986	MIBiG
BGC0001987	MIBiG
BGC0001988	MIBiG
BGC0001989	MIBiG
BGC0001991	MIBiG
BGC0001992	MIBiG
BGC0001994	MIBiG
BGC0001995	MIBiG
BGC0001996	MIBiG
BGC0001997	MIBiG
BGC0001998	MIBiG
BGC0001999	MIBiG
BGC0002000	MIBiG
BGC0002001	MIBiG
BGC0002002	MIBiG
BGC0002004	MIBiG
BGC0002005	MIBiG
BGC0002006	MIBiG
BGC0002007	MIBiG
BGC0002008	MIBiG
BGC0002009	MIBiG
BGC0002010	MIBiG
BGC0002011	MIBiG
BGC0002012	MIBiG
BGC0002013	MIBiG
BGC0002014	MIBiG
BGC0002015	MIBiG
BGC0002017	MIBiG
BGC0002018	MIBiG
BGC0002019	MIBiG
BGC0002020	MIBiG
BGC0002021	MIBiG
BGC0002022	MIBiG
BGC0002024	MIBiG
BGC0002025	MIBiG
BGC0002026	MIBiG
BGC0002028	MIBiG
BGC0002031	MIBiG
BGC0002032	MIBiG
BGC0002033	MIBiG
BGC0002034	MIBiG
BGC0002035	MIBiG
BGC0002036	MIBiG
BGC0002037	MIBiG
BGC0002038	MIBiG
BGC0002039	MIBiG
BGC0002040	MIBiG
BGC0002042	MIBiG
BGC0002043	MIBiG
BGC0002044	MIBiG
BGC0002045	MIBiG
BGC0002046	MIBiG
BGC0002047	MIBiG
BGC0002048	MIBiG
BGC0002049	MIBiG
BGC0002050	MIBiG
BGC0002051	MIBiG
BGC0002052	MIBiG
BGC0002053	MIBiG
BGC0002054	MIBiG
BGC0002055	MIBiG
BGC0002056	MIBiG
BGC0002058	MIBiG
BGC0002059	MIBiG
BGC0002060	MIBiG
BGC0002062	MIBiG
BGC0002063	MIBiG
BGC0002064	MIBiG
BGC0002066	MIBiG
BGC0002067	MIBiG
BGC0002068	MIBiG
BGC0002070	MIBiG
BGC0002071	MIBiG
BGC0002072	MIBiG
BGC0002073	MIBiG
BGC0002074	MIBiG
BGC0002075	MIBiG
BGC0002078	MIBiG
BGC0002079	MIBiG
BGC0002080	MIBiG
BGC0002081	MIBiG
BGC0002082	MIBiG
BGC0002083	MIBiG
BGC0002084	MIBiG
BGC0002085	MIBiG
BGC0002086	MIBiG
BGC0002087	MIBiG
BGC0002088	MIBiG
BGC0002089	MIBiG
BGC0002090	MIBiG
BGC0002091	MIBiG
BGC0002092	MIBiG
BGC0002093	MIBiG
BGC0002095	MIBiG
BGC0002096	MIBiG
BGC0002097	MIBiG
BGC0002098	MIBiG
BGC0002099	MIBiG
BGC0002100	MIBiG
BGC0002101	MIBiG
BGC0002102	MIBiG
BGC0002103	MIBiG
BGC0002104	MIBiG
BGC0002106	MIBiG
BGC0002107	MIBiG
BGC0002108	MIBiG
BGC0002109	MIBiG
BGC0002110	MIBiG
BGC0002111	MIBiG
BGC0002114	MIBiG
BGC0002115	MIBiG
BGC0002117	MIBiG
BGC0002118	MIBiG
BGC0002119	MIBiG
BGC0002120	MIBiG
BGC0002122	MIBiG
BGC0002123	MIBiG
BGC0002124	MIBiG
BGC0002125	MIBiG
BGC0002126	MIBiG
BGC0002127	MIBiG
BGC0002128	MIBiG
BGC0002129	MIBiG
BGC0002130	MIBiG
BGC0002131	MIBiG
BGC0002132	MIBiG
BGC0002133	MIBiG
BGC0002134	MIBiG
BGC0002135	MIBiG
BGC0002136	MIBiG
BGC0002137	MIBiG
BGC0002138	MIBiG
BGC0002139	MIBiG
BGC0002140	MIBiG
BGC0002141	MIBiG
BGC0002142	MIBiG
BGC0002143	MIBiG
BGC0002144	MIBiG
BGC0002146	MIBiG
BGC0002147	MIBiG
BGC0002148	MIBiG
BGC0002149	MIBiG
BGC0002150	MIBiG
BGC0002151	MIBiG
BGC0002152	MIBiG
BGC0002153	MIBiG
BGC0002154	MIBiG
BGC0002155	MIBiG
BGC0002157	MIBiG
BGC0002158	MIBiG
BGC0002161	MIBiG
BGC0002162	MIBiG
BGC0002163	MIBiG
BGC0002164	MIBiG
